unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
"8601628,HV275723,2012-05-07 12:00:00.000000 UTC,073XX S RIDGELAND AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,324,3,8,43,05,1189144.0,1856721.0,2012,2016-02-04 06:33:39.000000 UTC,41.761898254,-87.582323261,""(41.761898254, -87.582323261)"""
"4557593,HM147317,2006-01-26 19:00:00.000000 UTC,065XX S WASHTENAW AVE,0810,THEFT,OVER $500,STREET,false,false,831,8,15,66,06,1159500.0,1861246.0,2006,2018-02-10 15:50:01.000000 UTC,41.774974351,-87.690848138,""(41.774974351, -87.690848138)"""
"9458933,HX112213,2014-01-12 21:04:00.000000 UTC,045XX S LAVERGNE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,false,false,814,8,23,56,18,1143788.0,1874084.0,2014,2016-02-04 06:33:39.000000 UTC,41.810511606,-87.748126605,""(41.810511606, -87.748126605)"""
7879088,HT106617,2009-09-16 15:00:00.000000 UTC,103XX S DOTY AVE E,0810,THEFT,OVER $500,OTHER,false,false,434,4,10,51,06,,,2009,2015-08-17 15:03:40.000000 UTC,,,
"6818384,HR225707,2009-03-20 11:35:00.000000 UTC,047XX S KENNETH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,815,8,23,57,08B,1147494.0,1872760.0,2009,2018-02-28 15:56:25.000000 UTC,41.806808296,-87.734567043,""(41.806808296, -87.734567043)"""
"4334199,HL623342,2005-09-20 03:40:00.000000 UTC,080XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,835,8,18,70,14,1160107.0,1851288.0,2005,2018-02-28 15:56:25.000000 UTC,41.747635652,-87.688896423,""(41.747635652, -87.688896423)"""
"11459243,JB452475,2018-09-26 23:21:00.000000 UTC,032XX N OKETO AVE,0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,RESIDENCE,false,false,1631,16,29,17,02,1126267.0,1920685.0,2018,2018-10-30 16:11:55.000000 UTC,41.938701375,-87.811353762,""(41.938701375, -87.811353762)"""
"11052118,JA388232,2017-08-12 13:55:00.000000 UTC,009XX N MICHIGAN AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,DEPARTMENT STORE,false,false,1833,18,42,8,03,1177308.0,1907045.0,2017,2018-02-10 15:50:01.000000 UTC,41.900266664,-87.62418056,""(41.900266664, -87.62418056)"""
"13243640,JG463799,2023-10-14 20:15:00.000000 UTC,047XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1113,11,28,25,08B,1144706.0,1901041.0,2023,2023-10-22 15:43:44.000000 UTC,41.884468083,-87.744080988,""(41.884468083, -87.744080988)"""
"8194752,HT428764,2011-08-02 20:01:00.000000 UTC,045XX S CALIFORNIA AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,APARTMENT,true,true,912,9,12,58,08B,1158464.0,1874396.0,2011,2018-02-10 15:50:01.000000 UTC,41.811080924,-87.694287657,""(41.811080924, -87.694287657)"""
"5822889,HN632622,2007-10-06 15:10:00.000000 UTC,002XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1523,15,28,25,08A,1139003.0,1901103.0,2007,2018-02-28 15:56:25.000000 UTC,41.884743767,-87.765021942,""(41.884743767, -87.765021942)"""
"1852662,G691520,2001-11-17 08:20:57.000000 UTC,090XX S DAUPHIN AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,633,6,,,08B,1183668.0,1845226.0,2001,2015-08-17 15:03:40.000000 UTC,41.730484191,-87.602750878,""(41.730484191, -87.602750878)"""
"5663638,HN463844,2007-07-13 13:10:33.000000 UTC,070XX S YALE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,731,7,6,69,08A,1175841.0,1858327.0,2007,2018-02-28 15:56:25.000000 UTC,41.766613666,-87.63103182,""(41.766613666, -87.63103182)"""
"8944234,HV616708,2012-12-26 02:40:00.000000 UTC,027XX W 68TH ST,1570,SEX OFFENSE,PUBLIC INDECENCY,HOSPITAL BUILDING/GROUNDS,true,false,831,8,15,66,17,1159381.0,1859440.0,2012,2018-02-10 15:50:01.000000 UTC,41.770020864,-87.6913338,""(41.770020864, -87.6913338)"""
"4180456,HL509597,2005-07-26 17:51:40.000000 UTC,054XX W AUGUSTA BLVD,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1524,15,37,25,08B,1139652.0,1906129.0,2005,2018-02-28 15:56:25.000000 UTC,41.898523915,-87.762515901,""(41.898523915, -87.762515901)"""
"1803527,G630980,2001-10-20 11:00:00.000000 UTC,002XX E 116 ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,532,5,,,14,1179955.0,1827700.0,2001,2015-08-17 15:03:40.000000 UTC,41.682476178,-87.616886845,""(41.682476178, -87.616886845)"""
"9340304,HW480900,2013-07-08 15:00:00.000000 UTC,001XX W RANDOLPH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,CTA PLATFORM,false,false,122,1,42,32,06,1175414.0,1901275.0,2013,2018-02-10 15:50:01.000000 UTC,41.884476226,-87.631310613,""(41.884476226, -87.631310613)"""
"6981673,HR385362,2009-06-19 19:00:00.000000 UTC,068XX S LANGLEY AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,false,false,321,3,6,42,05,1182067.0,1859900.0,2009,2018-02-28 15:56:25.000000 UTC,41.770788369,-87.608162737,""(41.770788369, -87.608162737)"""
"3075823,HJ796400,2003-12-03 07:15:00.000000 UTC,087XX S HERMITAGE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2221,22,21,71,05,1166204.0,1846679.0,2003,2018-02-10 15:50:01.000000 UTC,41.734860402,-87.666685922,""(41.734860402, -87.666685922)"""
"4958991,HM392809,2006-06-04 10:30:00.000000 UTC,026XX W WILCOX ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1125,11,2,27,18,1158634.0,1899253.0,2006,2018-02-10 15:50:01.000000 UTC,41.879287821,-87.692984296,""(41.879287821, -87.692984296)"""
"6575798,HP648478,2008-10-26 06:30:00.000000 UTC,094XX S EWING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,false,false,432,4,10,52,07,1201410.0,1843206.0,2008,2018-02-28 15:56:25.000000 UTC,41.724509539,-87.537825938,""(41.724509539, -87.537825938)"""
"11789851,JC387269,2019-08-10 19:31:00.000000 UTC,011XX N HARDING AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,SIDEWALK,false,false,1112,11,37,23,14,1149847.0,1907216.0,2019,2019-08-17 15:42:14.000000 UTC,41.90131451,-87.725041634,""(41.90131451, -87.725041634)"""
"8008647,HT224392,2011-03-13 18:00:00.000000 UTC,097XX S HOUSTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,431,4,10,51,26,1198207.0,1840944.0,2011,2018-02-10 15:50:01.000000 UTC,41.718383045,-87.54963363,""(41.718383045, -87.54963363)"""
"5169571,HM746354,2006-11-28 07:30:00.000000 UTC,029XX W ARTHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1135,11,28,27,08B,1156902.0,1895897.0,2006,2021-09-07 15:41:02.000000 UTC,41.870113906,-87.699434939,""(41.870113906, -87.699434939)"""
"12894670,JF476992,2022-11-16 10:00:00.000000 UTC,079XX S ARTESIAN AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,835,8,18,70,07,1161425.0,1851910.0,2022,2023-01-03 15:40:27.000000 UTC,41.749315325,-87.684049644,""(41.749315325, -87.684049644)"""
"1836890,G671798,2001-11-07 19:30:00.000000 UTC,034XX S DR MARTN LUTHR KING JR DR,0820,THEFT,$500 AND UNDER,DRUG STORE,true,false,2122,2,,,06,1179512.0,1882402.0,2001,2015-08-17 15:03:40.000000 UTC,41.832594585,-87.616840751,""(41.832594585, -87.616840751)"""
"10430241,HZ168140,2016-02-28 10:12:00.000000 UTC,033XX W BELMONT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,OTHER,true,false,1412,14,35,21,18,1153578.0,1921084.0,2016,2018-02-10 15:50:01.000000 UTC,41.93929606,-87.710967546,""(41.93929606, -87.710967546)"""
"11450793,JB441544,2018-09-18 20:30:00.000000 UTC,025XX W HOLLYWOOD AVE,0810,THEFT,OVER $500,STREET,false,false,2011,20,40,2,06,1158525.0,1937767.0,2018,2018-09-25 16:14:11.000000 UTC,41.984975128,-87.692327224,""(41.984975128, -87.692327224)"""
"5495378,HN313304,2007-04-30 02:20:00.000000 UTC,092XX S BURNSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,633,6,9,44,08B,1180936.0,1843645.0,2007,2018-02-28 15:56:25.000000 UTC,41.726208933,-87.612807473,""(41.726208933, -87.612807473)"""
"13489050,JH298657,2024-06-08 22:30:00.000000 UTC,061XX W GRAND AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2512,25,36,19,06,1135285.0,1914316.0,2024,2024-12-21 15:40:46.000000 UTC,41.921068658,-87.778361321,""(41.921068658, -87.778361321)"""
"7983928,HT178232,2011-02-25 12:54:00.000000 UTC,012XX W 50TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,true,false,933,9,16,61,18,1168710.0,1871620.0,2011,2018-02-10 15:50:01.000000 UTC,41.803248055,-87.656786249,""(41.803248055, -87.656786249)"""
"8891831,HV565729,2012-11-17 07:15:00.000000 UTC,005XX W OAK ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,false,true,1823,18,27,8,26,1172329.0,1907062.0,2012,2018-02-10 15:50:01.000000 UTC,41.900424796,-87.642467932,""(41.900424796, -87.642467932)"""
"7518932,HS322327,2010-05-23 15:18:00.000000 UTC,015XX N LAWLER AVE,041A,BATTERY,AGGRAVATED: HANDGUN,ALLEY,false,false,2533,25,37,25,04B,1142428.0,1909682.0,2010,2018-02-10 15:50:01.000000 UTC,41.908222613,-87.752231292,""(41.908222613, -87.752231292)"""
"8900611,HV574781,2012-11-24 11:55:00.000000 UTC,048XX W RICE ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,1531,15,37,25,04B,1143973.0,1905218.0,2012,2018-02-10 15:50:01.000000 UTC,41.895944039,-87.746667821,""(41.895944039, -87.746667821)"""
"7582014,HS386119,2010-06-29 23:00:00.000000 UTC,040XX N LINCOLN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1912,19,47,5,14,1162284.0,1926597.0,2010,2018-02-10 15:50:01.000000 UTC,41.954246133,-87.678815849,""(41.954246133, -87.678815849)"""
"8419964,HT652773,2010-04-30 09:00:00.000000 UTC,029XX W IRVING PARK RD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1733,17,33,16,06,1156151.0,1926446.0,2010,2018-02-10 15:50:01.000000 UTC,41.953958097,-87.701365724,""(41.953958097, -87.701365724)"""
"6164675,HP254777,2008-04-01 02:32:23.000000 UTC,051XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,APARTMENT,false,true,234,2,3,40,08A,1179796.0,1871087.0,2008,2018-02-28 15:56:25.000000 UTC,41.801538809,-87.616145232,""(41.801538809, -87.616145232)"""
"12584892,JF103755,2022-01-05 04:35:00.000000 UTC,049XX W SUPERIOR ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1531,15,37,25,06,1143360.0,1904516.0,2022,2023-01-03 15:40:27.000000 UTC,41.89402915,-87.74893683,""(41.89402915, -87.74893683)"""
"3411115,HK469983,2004-07-02 18:30:00.000000 UTC,022XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,false,false,1034,10,25,31,06,1160711.0,1889253.0,2004,2018-02-28 15:56:25.000000 UTC,41.851804072,-87.68563492,""(41.851804072, -87.68563492)"""
"9341307,HW482383,2013-07-31 14:00:00.000000 UTC,012XX W LAKE ST,0890,THEFT,FROM BUILDING,OTHER,false,false,1215,12,27,28,06,1168301.0,1901589.0,2013,2018-02-10 15:50:01.000000 UTC,41.885494568,-87.657421228,""(41.885494568, -87.657421228)"""
"10130488,HY319235,2015-06-28 11:30:00.000000 UTC,023XX S KOSTNER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1013,10,22,29,14,1147427.0,1888058.0,2015,2018-02-10 15:50:01.000000 UTC,41.848789443,-87.734421629,""(41.848789443, -87.734421629)"""
"7399247,HS199765,2010-03-09 21:00:00.000000 UTC,042XX W HADDON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1111,11,37,23,08B,1147880.0,1907329.0,2010,2018-02-10 15:50:01.000000 UTC,41.901662639,-87.732263771,""(41.901662639, -87.732263771)"""
"11482367,JB483340,2018-10-20 16:10:00.000000 UTC,082XX S MARYLAND AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,631,6,8,44,18,1183338.0,1850561.0,2018,2018-10-27 16:07:48.000000 UTC,41.745131704,-87.603794091,""(41.745131704, -87.603794091)"""
"11408283,JB385731,2018-08-09 08:08:00.000000 UTC,010XX W BYRON ST,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,STREET,true,false,1923,19,44,6,24,1168658.0,1926069.0,2018,2018-09-19 16:22:01.000000 UTC,41.952661308,-87.655399627,""(41.952661308, -87.655399627)"""
"8662214,HV337150,2012-06-16 02:30:00.000000 UTC,028XX W LYNDALE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1414,14,35,22,14,1157110.0,1914959.0,2012,2016-02-04 06:33:39.000000 UTC,41.922417517,-87.698153197,""(41.922417517, -87.698153197)"""
"2956463,HJ589086,2003-08-29 17:29:00.000000 UTC,010XX N LAWNDALE AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,true,false,1112,11,27,23,18,1151522.0,1906738.0,2003,2018-02-28 15:56:25.000000 UTC,41.899970075,-87.718901728,""(41.899970075, -87.718901728)"""
"12671250,JF208557,2022-04-15 00:00:00.000000 UTC,092XX S WENTWORTH AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,634,6,21,49,04A,1176574.0,1843636.0,2022,2023-01-03 15:40:27.000000 UTC,41.726283317,-87.628786014,""(41.726283317, -87.628786014)"""
"13138309,JG338007,2023-07-12 05:00:00.000000 UTC,109XX S CHURCH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2212,22,19,75,07,1167178.0,1831827.0,2023,2023-08-19 15:40:26.000000 UTC,41.694083421,-87.663540868,""(41.694083421, -87.663540868)"""
"10676139,HZ426930,2016-08-09 12:00:00.000000 UTC,002XX W 110TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,513,5,34,49,06,1176667.0,1831996.0,2016,2018-02-10 15:50:01.000000 UTC,41.694339447,-87.628794218,""(41.694339447, -87.628794218)"""
"1537485,G289430,2001-05-19 18:23:54.000000 UTC,094XX S CALUMET AV,0820,THEFT,$500 AND UNDER,STREET,false,false,633,6,,,06,1180212.0,1842111.0,2001,2015-08-17 15:03:40.000000 UTC,41.722016045,-87.61550638,""(41.722016045, -87.61550638)"""
"11595363,JC151922,2019-02-13 19:45:00.000000 UTC,033XX W MONTROSE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1724,17,33,14,07,1153430.0,1929048.0,2019,2019-02-20 16:32:09.000000 UTC,41.961152782,-87.711299056,""(41.961152782, -87.711299056)"""
"6001969,HN783821,2007-12-29 19:07:39.000000 UTC,004XX S PULASKI RD,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1132,11,24,26,26,1149798.0,1897604.0,2007,2018-02-28 15:56:25.000000 UTC,41.874939105,-87.725471718,""(41.874939105, -87.725471718)"""
"3405253,HK452421,2004-06-24 14:30:00.000000 UTC,064XX S LAVERGNE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,813,8,13,64,11,1144162.0,1861474.0,2004,2018-02-28 15:56:25.000000 UTC,41.775900708,-87.747070211,""(41.775900708, -87.747070211)"""
"10346216,HY537475,2015-12-14 14:19:00.000000 UTC,108XX S EWING AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,432,4,10,52,08A,1202193.0,1833615.0,2015,2018-02-10 15:50:01.000000 UTC,41.698171177,-87.5352835,""(41.698171177, -87.5352835)"""
"10953676,JA274007,2017-05-22 08:00:00.000000 UTC,044XX N KIMBALL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1724,17,33,14,14,1152924.0,1929216.0,2017,2018-02-10 15:50:01.000000 UTC,41.96162385,-87.713154921,""(41.96162385, -87.713154921)"""
"7399587,HS201397,2010-03-10 20:25:00.000000 UTC,009XX N LAVERGNE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1531,15,37,25,08B,1142854.0,1905769.0,2010,2018-02-10 15:50:01.000000 UTC,41.89747697,-87.750763981,""(41.89747697, -87.750763981)"""
"5703043,HN511779,2007-08-05 18:30:00.000000 UTC,034XX N LAKE SHORE DR,0820,THEFT,$500 AND UNDER,STREET,false,false,2331,19,44,6,06,1172449.0,1923411.0,2007,2018-02-28 15:56:25.000000 UTC,41.945284535,-87.641542722,""(41.945284535, -87.641542722)"""
"5638181,HN439785,2007-06-30 19:00:00.000000 UTC,083XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CONSTRUCTION SITE,false,false,613,6,21,71,14,1169777.0,1849389.0,2007,2018-02-10 15:50:01.000000 UTC,41.742220331,-87.653517532,""(41.742220331, -87.653517532)"""
"8275098,HT509255,2011-09-08 09:00:00.000000 UTC,027XX W 44TH ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,912,9,12,58,06,1158684.0,1875372.0,2011,2018-02-10 15:50:01.000000 UTC,41.813754699,-87.693454053,""(41.813754699, -87.693454053)"""
"4765052,HM373707,2006-05-26 02:10:13.000000 UTC,071XX S PRINCETON AVE,1330,CRIMINAL TRESPASS,TO LAND,DRIVEWAY - RESIDENTIAL,true,false,731,7,6,69,26,1175531.0,1857579.0,2006,2018-02-28 15:56:25.000000 UTC,41.764568009,-87.632190432,""(41.764568009, -87.632190432)"""
"11714184,JC295945,2019-04-24 15:00:00.000000 UTC,018XX W 87TH ST,1206,DECEPTIVE PRACTICE,""THEFT BY LESSEE,MOTOR VEH"",STREET,false,false,614,6,21,71,11,1165653.0,1846986.0,2019,2019-06-30 15:41:21.000000 UTC,41.73571455,-87.668695873,""(41.73571455, -87.668695873)"""
"4074379,HL419661,2005-06-13 19:00:00.000000 UTC,075XX S GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,false,false,621,6,17,71,05,1171945.0,1854770.0,2005,2018-02-28 15:56:25.000000 UTC,41.756939222,-87.645416372,""(41.756939222, -87.645416372)"""
"1724632,G516238,2001-08-29 10:50:00.000000 UTC,040XX W 21 ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1012,10,,,18,1149941.0,1889749.0,2001,2015-08-17 15:03:40.000000 UTC,41.853381274,-87.72515099,""(41.853381274, -87.72515099)"""
"11211031,JB125801,2018-01-10 13:52:00.000000 UTC,066XX S ELLIS AVE,0460,BATTERY,SIMPLE,STREET,false,false,321,3,5,42,08B,1184032.0,1861120.0,2018,2018-05-04 15:51:04.000000 UTC,41.774090471,-87.600921791,""(41.774090471, -87.600921791)"""
"5625051,HN422502,2007-06-19 10:00:00.000000 UTC,064XX S KOMENSKY AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,813,8,13,65,06,1150478.0,1861585.0,2007,2018-02-28 15:56:25.000000 UTC,41.776084821,-87.723913093,""(41.776084821, -87.723913093)"""
"12592574,JF112492,2022-01-09 13:15:00.000000 UTC,004XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1834,18,42,8,06,1177361.0,1903270.0,2022,2023-01-03 15:40:27.000000 UTC,41.889906681,-87.624100509,""(41.889906681, -87.624100509)"""
"1770467,G577499,2001-09-26 12:35:00.000000 UTC,016XX S HARDING AV,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1014,10,,,18,1150367.0,1891456.0,2001,2015-08-17 15:03:40.000000 UTC,41.8580572,-87.723542912,""(41.8580572, -87.723542912)"""
"3445499,HK001606,2004-07-22 19:00:00.000000 UTC,106XX S BUFFALO AVE,0610,BURGLARY,FORCIBLE ENTRY,OTHER,false,false,432,4,10,52,05,1199861.0,1834913.0,2004,2018-02-28 15:56:25.000000 UTC,41.701791985,-87.543778315,""(41.701791985, -87.543778315)"""
"13043077,JG224501,2023-04-12 14:30:00.000000 UTC,007XX W 54TH PL,0560,ASSAULT,SIMPLE,APARTMENT,false,true,935,9,16,61,08A,1172394.0,1868734.0,2023,2023-08-19 15:40:26.000000 UTC,41.7952482,-87.643360273,""(41.7952482, -87.643360273)"""
"3119063,HK107619,2004-01-04 22:00:00.000000 UTC,035XX W 66TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,831,8,15,66,07,1153941.0,1860294.0,2004,2018-02-28 15:56:25.000000 UTC,41.772474073,-87.711252092,""(41.772474073, -87.711252092)"""
"8412988,HT646359,2011-12-24 14:00:00.000000 UTC,072XX S SANGAMON ST,0460,BATTERY,SIMPLE,STREET,false,false,733,7,17,68,08B,1171225.0,1856927.0,2011,2018-02-10 15:50:01.000000 UTC,41.762874072,-87.647992068,""(41.762874072, -87.647992068)"""
"6281078,HP365541,2008-05-30 16:49:01.000000 UTC,046XX W MONROE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1113,11,28,25,14,1145487.0,1899161.0,2008,2018-02-28 15:56:25.000000 UTC,41.879294389,-87.74126065,""(41.879294389, -87.74126065)"""
"6211436,HP298032,2008-04-23 22:00:00.000000 UTC,048XX S BISHOP ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,933,9,20,61,26,1167483.0,1872669.0,2008,2018-02-28 15:56:25.000000 UTC,41.806153044,-87.661256155,""(41.806153044, -87.661256155)"""
"4270101,HL490462,2005-07-17 17:58:27.000000 UTC,125XX S MICHIGAN AVE,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,SIDEWALK,true,false,532,5,9,53,22,1179133.0,1821736.0,2005,2018-02-28 15:56:25.000000 UTC,41.666128778,-87.62007655,""(41.666128778, -87.62007655)"""
"12092632,JD281161,2020-05-31 22:00:00.000000 UTC,017XX W 47TH ST,3400,PUBLIC PEACE VIOLATION,LOOTING,RESTAURANT,false,false,924,9,15,61,24,1165317.0,1873531.0,2020,2020-07-03 15:39:46.000000 UTC,41.808564676,-87.66917584,""(41.808564676, -87.66917584)"""
"2643372,HJ252295,2003-03-21 17:30:00.000000 UTC,056XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,2515,25,30,19,06,1138562.0,1915397.0,2003,2018-02-10 15:50:01.000000 UTC,41.923976215,-87.766294416,""(41.923976215, -87.766294416)"""
"10071902,HY260315,2015-05-14 18:50:00.000000 UTC,073XX S PHILLIPS AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,334,3,7,43,08B,1193920.0,1856762.0,2015,2018-02-10 15:50:01.000000 UTC,41.761895006,-87.564817664,""(41.761895006, -87.564817664)"""
"9266937,HW410270,2013-08-16 13:00:00.000000 UTC,001XX W DIVISION ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1824,18,42,8,26,1175156.0,1908348.0,2013,2021-09-07 15:41:02.000000 UTC,41.903890702,-87.632045722,""(41.903890702, -87.632045722)"""
"8877120,HV550670,2012-11-06 15:49:00.000000 UTC,008XX E 103RD ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,""SCHOOL, PUBLIC, BUILDING"",true,false,512,5,9,50,08B,1183988.0,1836860.0,2012,2018-02-10 15:50:01.000000 UTC,41.707519433,-87.601839023,""(41.707519433, -87.601839023)"""
"9502018,HX156980,2014-02-19 03:00:00.000000 UTC,055XX S DR MARTIN LUTHER KING JR DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,231,2,20,40,07,1179873.0,1868187.0,2014,2016-02-04 06:33:39.000000 UTC,41.793579185,-87.615951604,""(41.793579185, -87.615951604)"""
"12938780,JG100590,2023-01-01 11:47:00.000000 UTC,010XX W 103RD ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,2232,22,34,73,07,1171283.0,1836517.0,2023,2023-08-19 15:40:26.000000 UTC,41.706864932,-87.648374832,""(41.706864932, -87.648374832)"""
"19106,HR561279,2009-09-28 19:27:00.000000 UTC,049XX W HUBBARD ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1532,15,28,25,01A,1143372.0,1902559.0,2009,2022-09-19 15:41:05.000000 UTC,41.888658688,-87.748941709,""(41.888658688, -87.748941709)"""
"5123006,HM719393,2006-11-14 07:30:00.000000 UTC,009XX E 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,631,6,8,44,08B,1184064.0,1851493.0,2006,2018-02-28 15:56:25.000000 UTC,41.747672289,-87.601104881,""(41.747672289, -87.601104881)"""
"5907137,HN703741,2007-11-11 20:00:00.000000 UTC,074XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2424,24,49,1,06,1161660.0,1949453.0,2007,2018-02-28 15:56:25.000000 UTC,42.016976894,-87.680469283,""(42.016976894, -87.680469283)"""
"2189990,HH420628,2002-06-05 00:01:00.000000 UTC,058XX N WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2012,20,40,4,14,1159270.0,1938608.0,2002,2018-02-28 15:56:25.000000 UTC,41.987267534,-87.689563935,""(41.987267534, -87.689563935)"""
"13382223,JH168410,2024-02-27 21:50:00.000000 UTC,079XX S COTTAGE GROVE AVE,0810,THEFT,OVER $500,STREET,false,false,624,6,6,44,06,1182930.0,1852635.0,2024,2024-12-21 15:40:46.000000 UTC,41.750832464,-87.605224746,""(41.750832464, -87.605224746)"""
"5262656,HN133745,2007-01-20 01:40:00.000000 UTC,039XX W ARTHINGTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GROCERY FOOD STORE,true,false,1132,11,24,26,18,1150160.0,1895742.0,2007,2018-02-10 15:50:01.000000 UTC,41.869822522,-87.724191109,""(41.869822522, -87.724191109)"""
"5156479,HM751897,2006-12-01 21:16:15.000000 UTC,074XX S LOOMIS BLVD,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,true,734,7,17,67,04A,1168284.0,1855523.0,2006,2021-09-07 15:41:02.000000 UTC,41.759085105,-87.658811683,""(41.759085105, -87.658811683)"""
"3256349,HK161197,2004-02-02 20:50:00.000000 UTC,031XX W ROOSEVELT RD,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,1022,10,24,29,18,1155802.0,1894546.0,2004,2018-02-10 15:50:01.000000 UTC,41.866428839,-87.703509785,""(41.866428839, -87.703509785)"""
