unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
"13214996,JG429742,2023-09-18 14:05:00.000000 UTC,051XX S BLACKSTONE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,234,2,4,41,11,1186787.0,1871326.0,2023,2023-09-26 15:45:34.000000 UTC,41.802031713,-87.59049938,""(41.802031713, -87.59049938)"""
"1624961,G403715,2001-07-10 09:30:00.000000 UTC,020XX W MELROSE ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1913,19,,,05,1162122.0,1921535.0,2001,2015-08-17 15:03:40.000000 UTC,41.940359122,-87.679553323,""(41.940359122, -87.679553323)"""
"6711296,HR127248,2009-01-18 11:00:00.000000 UTC,020XX N HARLEM AVE,0810,THEFT,OVER $500,STREET,false,false,2512,25,36,25,06,1127765.0,1912732.0,2009,2016-02-04 06:33:39.000000 UTC,41.916852176,-87.806027883,""(41.916852176, -87.806027883)"""
"2361792,HH243956,2002-03-15 12:07:00.000000 UTC,070XX S MAY ST,0460,BATTERY,SIMPLE,OTHER,false,false,733,7,17,68,08B,1169870.0,1858045.0,2002,2018-02-28 15:56:25.000000 UTC,41.765971524,-87.652925956,""(41.765971524, -87.652925956)"""
"8461079,HV138275,2012-01-30 14:00:00.000000 UTC,016XX W 19TH ST,1330,CRIMINAL TRESPASS,TO LAND,""SCHOOL, PUBLIC, GROUNDS"",false,false,1222,12,25,31,26,1165677.0,1890801.0,2012,2018-02-10 15:50:01.000000 UTC,41.855947695,-87.667364371,""(41.855947695, -87.667364371)"""
"6658578,HP730623,2008-12-12 17:20:00.000000 UTC,017XX W 19TH ST,031A,ROBBERY,ARMED: HANDGUN,GROCERY FOOD STORE,false,false,1223,12,25,31,03,1165305.0,1890792.0,2008,2018-02-28 15:56:25.000000 UTC,41.855930908,-87.668730048,""(41.855930908, -87.668730048)"""
"7637956,HS442150,2010-08-02 14:00:00.000000 UTC,074XX N RIDGE BLVD,0820,THEFT,$500 AND UNDER,""SCHOOL, PRIVATE, BUILDING"",false,false,2411,24,49,2,06,1160607.0,1949424.0,2010,2018-02-10 15:50:01.000000 UTC,42.016919291,-87.684344863,""(42.016919291, -87.684344863)"""
"10604967,HZ356643,2016-07-20 01:30:00.000000 UTC,003XX N ORLEANS ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1831,18,42,8,06,1174005.0,1902578.0,2016,2018-02-10 15:50:01.000000 UTC,41.888083249,-87.636445738,""(41.888083249, -87.636445738)"""
"3241651,HK214404,2004-03-01 20:24:55.000000 UTC,009XX N HUDSON AVE,2027,NARCOTICS,POSS: CRACK,CHA APARTMENT,true,false,1823,18,27,8,18,1173001.0,1906745.0,2004,2018-02-28 15:56:25.000000 UTC,41.899540054,-87.640009077,""(41.899540054, -87.640009077)"""
"4572542,HM161155,2006-02-03 14:50:00.000000 UTC,016XX S AVERS AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1014,10,24,29,08B,1151008.0,1891566.0,2006,2018-02-28 15:56:25.000000 UTC,41.858346536,-87.721187148,""(41.858346536, -87.721187148)"""
"4357601,HL653253,2005-10-04 13:45:00.000000 UTC,088XX S MORGAN ST,0460,BATTERY,SIMPLE,STREET,false,false,2222,22,21,71,08B,1171191.0,1846222.0,2005,2018-02-10 15:50:01.000000 UTC,41.733498877,-87.648428997,""(41.733498877, -87.648428997)"""
"13431395,JH227201,2024-04-15 16:15:00.000000 UTC,060XX S RACINE AVE,0810,THEFT,OVER $500,APARTMENT,false,false,712,7,16,68,06,1169352.0,1864819.0,2024,2024-12-21 15:40:46.000000 UTC,41.784571444,-87.654628652,""(41.784571444, -87.654628652)"""
"10911650,JA218496,2017-04-06 00:00:00.000000 UTC,0000X E 8TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,123,1,2,32,08B,1176533.0,1896669.0,2017,2018-02-10 15:50:01.000000 UTC,41.871811902,-87.627340674,""(41.871811902, -87.627340674)"""
"2262297,HH543083,2002-07-25 00:30:00.000000 UTC,030XX N AVERS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2523,25,30,21,05,1150562.0,1920090.0,2002,2018-02-10 15:50:01.000000 UTC,41.936627993,-87.722078301,""(41.936627993, -87.722078301)"""
"2759093,HJ394695,2003-05-29 16:18:47.000000 UTC,006XX W HARRISON ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER COMMERCIAL TRANSPORTATION,true,false,131,1,2,28,26,1172257.0,1897564.0,2003,2018-02-28 15:56:25.000000 UTC,41.874363279,-87.643013039,""(41.874363279, -87.643013039)"""
"5926463,HN722094,2007-11-22 15:30:00.000000 UTC,070XX S PARNELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,732,7,6,68,14,1173839.0,1858138.0,2007,2018-02-28 15:56:25.000000 UTC,41.76613965,-87.638375484,""(41.76613965, -87.638375484)"""
"9155589,HW301309,2013-06-02 14:42:00.000000 UTC,030XX N BROADWAY,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,1934,19,44,6,06,1171724.0,1920381.0,2013,2018-02-10 15:50:01.000000 UTC,41.936986127,-87.644297045,""(41.936986127, -87.644297045)"""
"13120985,JG317735,2023-06-26 14:45:00.000000 UTC,019XX E 95TH ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,413,4,8,51,08A,1190679.0,1842357.0,2023,2023-08-19 15:40:26.000000 UTC,41.722445199,-87.57716001,""(41.722445199, -87.57716001)"""
"11483512,JB484914,2018-10-22 03:00:00.000000 UTC,042XX N MARINE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1915,19,46,3,08B,1170986.0,1928779.0,2018,2018-10-29 16:21:34.000000 UTC,41.960046783,-87.646762046,""(41.960046783, -87.646762046)"""
"8802543,HV474730,2012-09-13 20:55:00.000000 UTC,042XX N LONG AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,1624,16,38,15,03,1139580.0,1927962.0,2012,2018-02-10 15:50:01.000000 UTC,41.958437299,-87.76224624,""(41.958437299, -87.76224624)"""
"13184357,JG392950,2023-08-22 10:09:00.000000 UTC,013XX W TOUHY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2423,24,49,1,08B,1165936.0,1947966.0,2023,2023-08-30 15:41:32.000000 UTC,42.012805972,-87.664777477,""(42.012805972, -87.664777477)"""
"11944803,JD107739,2020-01-07 18:12:00.000000 UTC,032XX W JACKSON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1124,11,28,27,18,1154762.0,1898507.0,2020,2020-01-14 15:41:12.000000 UTC,41.877319116,-87.707221678,""(41.877319116, -87.707221678)"""
"6573476,HP645275,2008-10-24 13:40:00.000000 UTC,020XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1313,12,1,24,06,1162692.0,1905336.0,2008,2018-02-28 15:56:25.000000 UTC,41.895896023,-87.677913394,""(41.895896023, -87.677913394)"""
"4763929,HM375873,2006-05-27 01:00:00.000000 UTC,099XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,false,false,2232,22,34,73,14,1172734.0,1839039.0,2006,2018-02-28 15:56:25.000000 UTC,41.713753878,-87.642987258,""(41.713753878, -87.642987258)"""
"5168180,HM761307,2006-12-05 18:00:00.000000 UTC,0000X S DEARBORN ST,0810,THEFT,OVER $500,STREET,false,false,112,1,42,32,06,1175945.0,1900240.0,2006,2018-02-10 15:50:01.000000 UTC,41.881624191,-87.629391908,""(41.881624191, -87.629391908)"""
"6726293,HR143501,2009-01-28 14:00:00.000000 UTC,023XX W PERSHING RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,914,9,12,61,14,1161394.0,1878764.0,2009,2018-02-28 15:56:25.000000 UTC,41.823006946,-87.683419417,""(41.823006946, -87.683419417)"""
"4955548,HM569038,2006-08-29 06:45:00.000000 UTC,051XX S LONG AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,814,8,23,56,06,1141232.0,1869963.0,2006,2018-02-28 15:56:25.000000 UTC,41.79925029,-87.757603146,""(41.79925029, -87.757603146)"""
"11155683,JA520254,2017-11-21 11:22:00.000000 UTC,050XX W DAKIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1634,16,45,15,08B,1142008.0,1925778.0,2017,2018-02-10 15:50:01.000000 UTC,41.95239946,-87.753374219,""(41.95239946, -87.753374219)"""
"7136260,HR545211,2009-09-19 11:00:00.000000 UTC,040XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,1114,11,28,26,08B,1149551.0,1900180.0,2009,2018-02-28 15:56:25.000000 UTC,41.882012735,-87.726311713,""(41.882012735, -87.726311713)"""
